bee_id,trial,number,choice
15,9,small,0
15,10,small,0
16,1,small,0
16,2,small,0
16,3,small,0
16,4,small,0
16,5,small,0
16,6,small,0
16,7,small,0
16,8,small,0
16,9,small,1
16,10,small,1
17,1,small,1
17,2,small,1
17,3,small,1
17,4,small,0
17,5,small,0
17,6,small,0
17,7,small,0
17,8,small,0
17,9,small,0
17,10,small,0
18,1,small,0
18,2,small,0
18,3,small,0
18,4,small,0
18,5,small,0
18,6,small,0
18,7,small,1
18,8,small,1
18,9,small,1
18,10,small,1
19,1,small,1
19,2,small,1
19,3,small,1
19,4,small,1
19,5,small,0
19,6,small,0
19,7,small,0
19,8,small,0
19,9,small,0
19,10,small,0
20,1,small,0
20,2,small,0
20,3,small,0
20,4,small,0
20,5,small,0
20,6,small,0
20,7,small,0
20,8,small,0
20,9,small,1
20,10,small,1
21,1,small,1
21,2,small,1
21,3,small,1
21,4,small,0
21,5,small,0
21,6,small,0
21,7,small,0
21,8,small,0
21,9,small,0
21,10,small,0
22,1,small,1
22,2,small,1
22,3,small,1
22,4,small,0
22,5,small,0
22,6,small,0
22,7,small,0
22,8,small,0
22,9,small,0
22,10,small,0
23,1,small,1
23,2,small,1
23,3,small,0
23,4,small,0
23,5,small,0
23,6,small,0
23,7,small,0
23,8,small,0
23,9,small,0
23,10,small,0
24,1,small,1
24,2,small,1
24,3,small,1
24,4,small,1
24,5,small,1
24,6,small,1
24,7,small,1
24,8,small,0
24,9,small,0
24,10,small,0
25,1,small,1
25,2,small,1
25,3,small,1
25,4,small,1
25,5,small,1
25,6,small,1
25,7,small,1
25,8,small,1
25,9,small,0
25,10,small,0
26,1,small,1
26,2,small,1
26,3,small,1
26,4,small,1
26,5,small,1
26,6,small,1
26,7,small,0
26,8,small,0
26,9,small,0
26,10,small,0
27,1,small,1
27,2,small,1
27,3,small,1
27,4,small,1
27,5,small,1
27,6,small,1
27,7,small,1
27,8,small,1
27,9,small,0
27,10,small,0
28,1,small,1
28,2,small,1
28,3,small,1
28,4,small,0
28,5,small,0
28,6,small,0
28,7,small,0
28,8,small,0
28,9,small,0
28,10,small,0
29,1,small,1
29,2,small,1
29,3,small,1
29,4,small,1
29,5,small,1
29,6,small,1
29,7,small,1
29,8,small,0
29,9,small,0
29,10,small,0
30,1,small,1
30,2,small,1
30,3,small,1
30,4,small,1
30,5,small,1
30,6,small,0
30,7,small,0
30,8,small,0
30,9,small,0
30,10,small,0
31,1,small,1
31,2,small,1
31,3,small,0
31,4,small,0
31,5,small,0
31,6,small,0
31,7,small,0
31,8,small,0
31,9,small,0
31,10,small,0
32,1,small,1
32,2,small,1
32,3,small,1
32,4,small,1
32,5,small,1
32,6,small,1
32,7,small,1
32,8,small,0
32,9,small,0
32,10,small,0
33,1,small,1
33,2,small,1
33,3,small,1
33,4,small,1
33,5,small,1
33,6,small,1
33,7,small,1
33,8,small,0
33,9,small,0
33,10,small,0
34,1,small,1
34,2,small,1
34,3,small,1
34,4,small,1
34,5,small,1
34,6,small,0
34,7,small,0
34,8,small,0
34,9,small,0
34,10,small,0
35,1,small,1
35,2,small,1
35,3,small,0
35,4,small,0
35,5,small,0
35,6,small,0
35,7,small,0
35,8,small,0
35,9,small,0
35,10,small,0
36,1,small,1
36,2,small,1
36,3,small,1
36,4,small,1
36,5,small,0
36,6,small,0
36,7,small,0
36,8,small,0
36,9,small,0
36,10,small,0
37,1,small,1
37,2,small,1
37,3,small,1
37,4,small,1
37,5,small,1
37,6,small,1
37,7,small,1
37,8,small,1
37,9,small,1
37,10,small,0
38,1,small,1
38,2,small,1
38,3,small,1
38,4,small,0
38,5,small,0
38,6,small,0
38,7,small,0
38,8,small,0
38,9,small,0
38,10,small,0
39,1,small,1
39,2,small,1
39,3,small,1
39,4,small,1
39,5,small,0
39,6,small,0
39,7,small,0
39,8,small,0
39,9,small,0
39,10,small,0
40,1,small,1
40,2,small,1
40,3,small,1
40,4,small,1
40,5,small,1
40,6,small,1
40,7,small,0
40,8,small,0
40,9,small,0
40,10,small,0
41,1,small,1
41,2,small,0
41,3,small,0
41,4,small,0
41,5,small,0
41,6,small,0
41,7,small,0
41,8,small,0
41,9,small,0
41,10,small,0
42,1,small,1
42,2,small,1
42,3,small,1
42,4,small,1
42,5,small,1
42,6,small,1
42,7,small,1
42,8,small,0
42,9,small,0
42,10,small,0
